P-P type	HMM profile ID	Protein representative ID	P-P score	P-P type score	Sequence score threshold	Neff value	geNomad hit	geNomad annotation	pident (geNomad)	evalue (geNomad)	bitscore (geNomad)	PHROGs hit	PHROGs Annotation	Protein category (PHROGs)	evalue (PHROGs)	cov_profile (PHROGs)	Rep/Par hit	evalue (Rep/Par)	cov_profile (Rep/Par)
SSU5_pHCM2	SSU5_pers_SM213147_RS25690	SM213147_RS25690	1	0.529	749.1	1	GENOMAD.218988.VP	T4 RNase H, C terminal	0.97	6.021e-80	270	phrog_107	exonuclease	DNA, RNA and nucleotide metabolism	3.9e-69	0.576	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM216103_RS24665	SM216103_RS24665	1	0.524	319.7	1	GENOMAD.224989.VP	NA	0.926	5.136e-89	287	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM216103_RS24670	SM216103_RS24670	1	0.611	2812.4	1	GENOMAD.220689.VP	uracil-DNA glycosylase family domain	0.98	8.791e-83	304	phrog_405	DNA polymerase	DNA, RNA and nucleotide metabolism	0	0.982	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM216103_RS24850	SM216103_RS24850	1	0.965	527.4	1	GENOMAD.205356.VP	NA	0.316	6.371e-26	109	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM216103_RS25020	SM216103_RS25020	0.948	0.279	461.9	1	GENOMAD.223168.VP	NA	0.87	4.77e-124	392	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM217186_RS26040	SM217186_RS26040	1	0.982	587.1	1	GENOMAD.224162.VP	NA	0.815	4.493e-132	417	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM227128_RS24635	SM227128_RS24635	0.982	0.22	481.4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM231186_RS24890	SM231186_RS24890	1	0.353	194.6	1	GENOMAD.220440.VP	NA	0.772	1.757e-37	135	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM231186_RS25050	SM231186_RS25050	1	0.965	575.6	1	GENOMAD.222634.VP	NA	0.881	3.114e-141	443	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM231186_RS25250	SM231186_RS25250	1	0.564	317.9	1	GENOMAD.091934.VV	NA	0.732	1.033e-59	202	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM232188_RS24825	SM232188_RS24825	0.962	0.295	347.5	1.1	GENOMAD.224227.VP	Repressor of phase-1 flagellin	0.925	3.459e-107	341	phrog_1444	transcriptional repressor	transcription regulation	1.7e-109	1	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM232188_RS25180	SM232188_RS25180	1	0.632	324.2	1	GENOMAD.132229.VP	Recombination, repair and ssDNA binding protein UvsY	0.691	7.087e-59	200	phrog_231	UvsY-like recombination mediator	DNA, RNA and nucleotide metabolism	5.2e-6	0.824	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM252143_RS24665	SM252143_RS24665	1	0.369	234.2	1.1	GENOMAD.142618.VP	Phage-related protein	0.418	1.758e-18	82	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM252143_RS24835	SM252143_RS24835	1	0.963	227.9	1.1	GENOMAD.223526.VP	NA	0.843	1.932e-53	182	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM268186_RS25040	SM268186_RS25040	1	0.964	877.5	1	NA	NA	NA	NA	NA	phrog_216	integrase	integration and excision	2.5e-13	0.767	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM273110_RS25230	SM273110_RS25230	1	0.465	630.8	1	GENOMAD.215557.VP	Predicted small secreted protein	0.842	2.624e-25	109	phrog_200	lipoprotein	other	1.1e-110	0.736	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SM294172_RS25150	SM294172_RS25150	1	0.964	165.6	1.1	GENOMAD.225422.VP	NA	0.793	8.234e-31	115	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SSU5_014	SSU5_014	0.982	0.224	171	1	GENOMAD.192874.VP	NA	0.674	5.802e-30	113	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SSU5_088	SSU5_088	1	0.881	461	1	NA	NA	NA	NA	NA	phrog_111	DNA methyltransferase	other	4.8e-66	0.568	NA	NA	NA
SSU5_pHCM2	SSU5_pers_SSU5_105	SSU5_105	0.982	0.74	193.2	1.2	GENOMAD.171582.VP	NA	0.886	6.079e-59	198	NA	NA	NA	NA	NA	NA	NA	NA
SSU5_pHCM2	SSU5_pers_STY_RS25000	STY_RS25000	1	0.85	591.6	1	GENOMAD.225847.VP	NA	0.911	1.506e-11	67	phrog_170	PhoH-like phosphate starvation-inducible	other	1.5e-86	0.789	NA	NA	NA
cp32	cp32_pers_A7X70_RS04725	A7X70_RS04725	0.908	0.775	206.7	1.2	GENOMAD.034962.PP	Borrelia hemolysin accessory protein	0.781	3.139e-52	179	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_A7X70_RS04830	A7X70_RS04830	1	0.877	719.1	1.1	GENOMAD.044060.PP	NA	0.888	2.397e-191	592	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_A7X70_RS04850	A7X70_RS04850	0.985	0.877	373	1.2	GENOMAD.056259.PP	Borrelia burgdorferi protein of unknown function (DUF764)	0.795	5.904e-91	295	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_BAFK78_RS06220	BAFK78_RS06220	1	0.903	529.4	1.2	GENOMAD.035671.PP	Lyme disease proteins of unknown function	0.378	1.895e-32	129	phrog_14182	esterase	other	3.5e-4	0.541	NA	NA	NA
cp32	cp32_pers_BAFPKO_RS04680	BAFPKO_RS04680	0.984	0.827	344.6	1.3	GENOMAD.050548.PP	Borrelia burgdorferi protein of unknown function (DUF777)	0.887	5.304e-106	338	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_BBIDN127_RS04385	BBIDN127_RS04385	1	0.855	385.3	1.2	GENOMAD.035671.PP	Lyme disease proteins of unknown function	0.793	4.035e-96	310	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_BBIDN127_RS04560	BBIDN127_RS04560	0.911	0.75	375.5	1.2	GENOMAD.038557.PP	Cry35Ab1 HTH C-terminal domain	0.873	1.294e-107	343	phrog_19287	membrane protein	moron, auxiliary metabolic gene and host takeover	0.00093000000000000005	0.517	NA	NA	NA
cp32	cp32_pers_BBIDN127_RS05285	BBIDN127_RS05285	0.985	0.821	210.7	1.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_BBIDN127_RS05290	BBIDN127_RS05290	0.956	0.802	585.1	1.1	GENOMAD.162613.PV	DUF276	0.826	3.07e-158	495	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_BBUJD1_RS00635	BBUJD1_RS00635	0.968	0.803	1004.1	1.1	GENOMAD.158148.VP	phage terminase, large subunit, PBSX family	0.805	2.16e-241	744	phrog_5573	terminase large subunit	head and packaging	2.6e-10	0.672	NA	NA	NA
cp32	cp32_pers_BBUJD1_RS07140	BBUJD1_RS07140	0.906	0.75	898.1	1.2	GENOMAD.027642.PP	Uncharacterized protein family (ORF7) DUF; YqaJ-like viral recombinase domain	0.843	6.646e-251	771	phrog_434	RecE-like recombination exonuclease	DNA, RNA and nucleotide metabolism	3.9e-14	0.712	NA	NA	NA
cp32	cp32_pers_BBUJD1_RS07510	BBUJD1_RS07510	0.882	0.753	220	1.2	GENOMAD.030435.PP	Borrelia orf-D family	0.691	1.386e-47	166	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_BBUN40_RS05895	BBUN40_RS05895	0.984	0.849	467.4	1.1	GENOMAD.045391.PP	NA	0.812	1.532e-117	374	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_BBUN40_RS06650	BBUN40_RS06650	0.871	0.73	713.2	1.2	GENOMAD.016671.PP	Borrelia ORF-A	0.569	2.409e-126	407	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_BBUZS7_RS00495	BBUZS7_RS00495	1	0.81	782.5	1.3	GENOMAD.075554.PP	Borrelia burgdorferi protein of unknown function (DUF759)	0.874	9.963e-255	781	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_BBUZS7_RS05650	BBUZS7_RS05650	0.97	0.877	855.7	1.1	GENOMAD.146459.PV	phage-related protein, HI1409 family	0.734	3.457e-197	614	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_BBUZS7_RS05825	BBUZS7_RS05825	0.895	0.764	281.2	1.2	GENOMAD.191395.PV	NA	0.498	1.462e-33	127	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_BB_RS06130	BB_RS06130	0.985	0.859	382.7	1.3	GENOMAD.053705.PP	Borrelia burgdorferi protein of unknown function (DUF792)	0.789	4.109e-114	364	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_BB_RS06755	BB_RS06755	1	0.883	157.3	1.2	GENOMAD.059040.PP	NA	0.603	9.998e-18	78	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_BB_RS07145	BB_RS07145	0.986	0.885	252.1	1.2	GENOMAD.072170.PP	NA	0.949	1.156e-78	256	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_BHT49_RS04540	BHT49_RS04540	0.903	0.774	213.3	1.2	GENOMAD.048564.PP	Borrelia hemolysin accessory protein	0.898	2.206e-67	223	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_BHT49_RS05710	BHT49_RS05710	0.909	0.778	121.1	1.1	GENOMAD.057731.PP	holin, BlyA family	0.737	1.51e-23	94	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_BbuMM1_RS02005	BbuMM1_RS02005	0.926	0.797	510.2	1.3	GENOMAD.038962.PP	tyrosine recombinase XerD	0.85	4.515e-146	458	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_Bmayo_RS04445	Bmayo_RS04445	0.986	0.932	251.8	1.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_Bmayo_RS04860	Bmayo_RS04860	1	0.886	307.3	1.1	GENOMAD.057733.PP	NA	0.865	1.428e-75	248	phrog_280	virion structural protein	head and packaging	1.5e-6	0.58	NA	NA	NA
cp32	cp32_pers_Bmayo_RS04865	Bmayo_RS04865	1	0.868	308.6	1.1	GENOMAD.054871.PP	NA	0.821	7.349e-79	258	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_Bmayo_RS05025	Bmayo_RS05025	0.985	0.857	378.1	1.2	GENOMAD.035671.PP	Lyme disease proteins of unknown function	0.728	7.861e-87	283	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_DB281_RS04840	DB281_RS04840	0.972	0.761	654.8	1.1	GENOMAD.046833.PP	NA	0.832	9.121e-174	541	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_DB281_RS05010	DB281_RS05010	1	0.877	749.2	1.2	GENOMAD.053703.PP	Borrelia burgdorferi protein of unknown function (DUF787)	0.843	1.075e-210	651	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_DB281_RS05510	DB281_RS05510	0.984	0.827	411.2	1.1	GENOMAD.046834.PP	NA	0.404	2.469e-36	138	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_DB299_RS06035	DB299_RS06035	0.97	0.867	307	1.1	GENOMAD.053702.PP	NA	0.626	4.063e-26	106	NA	NA	NA	NA	NA	NA	NA	NA
cp32	cp32_pers_DB299_RS06145	DB299_RS06145	0.833	0.714	364.9	1.1	GENOMAD.011054.PP	Borrelia family of unknown function DUF226	0.611	5.131e-67	226	NA	NA	NA	NA	NA	new_parAa_FAM000003_nr_90	2.5e-72	0.994
pCAV	pCAV_pers_AB181_RS01245	AB181_RS01245	1	1	193.1	1.1	GENOMAD.190667.PV	NA	0.454	1.123e-12	64	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_AB181_RS01260	AB181_RS01260	1	1	154.5	1.1	GENOMAD.222561.VP	NA	0.629	1.765e-18	79	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_AB181_RS01265	AB181_RS01265	1	1	450.1	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_AB181_RS01405	AB181_RS01405	1	1	299.7	1.1	GENOMAD.171885.VP	NA	0.488	4.072e-39	143	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_AB181_RS01415	AB181_RS01415	1	1	238.1	1.1	GENOMAD.180831.VP	Minor capsid protein	0.517	3.289e-29	113	phrog_793	head-tail adaptor	connector	2.3e-5	0.867	NA	NA	NA
pCAV	pCAV_pers_AB181_RS01775	AB181_RS01775	1	1	492.6	1.1	GENOMAD.222271.VP	ASC-1 homology (ASCH) domain, predicted RNA-binding domain	0.579	2.575e-70	237	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_AB181_RS01800	AB181_RS01800	1	1	1833.1	1.1	GENOMAD.029837.VV	DnaA regulatory inactivator Hda	0.211	9.883e-47	185	phrog_84	ribonucleoside-diphosphate reductase large subunit	DNA, RNA and nucleotide metabolism	0	0.795	NA	NA	NA
pCAV	pCAV_pers_AB184_RS00720	AB184_RS00720	1	1	3307.9	1.1	GENOMAD.178476.VP	NA	0.467	1.462e-110	396	phrog_1292	tail length tape measure protein	tail	0	0.983	NA	NA	NA
pCAV	pCAV_pers_AB184_RS00940	AB184_RS00940	1	1	742.5	1.1	GENOMAD.218988.VP	T4 RNase H, C terminal	0.647	1.684e-45	170	phrog_107	exonuclease	DNA, RNA and nucleotide metabolism	4.7e-48	0.572	NA	NA	NA
pCAV	pCAV_pers_AGF18_RS30100	AGF18_RS30100	1	0.765	171.7	1.2	GENOMAD.160598.VC	RNA ligase, T4 RnlA family	0.468	4.015e-13	65	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_AGF18_RS30270	AGF18_RS30270	1	1	890.9	1.1	GENOMAD.030715.VV	Ribonucleotide reductase beta subunit, ferritin-like domain	0.271	5.568e-35	141	phrog_86	ribonucleoside diphosphate reductase small subunit	DNA, RNA and nucleotide metabolism	3.7e-147	0.74	NA	NA	NA
pCAV	pCAV_pers_AGF18_RS30425	AGF18_RS30425	1	1	261.7	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_AGF18_RS30520	AGF18_RS30520	1	1	604	1.1	GENOMAD.180474.VP	NA	0.721	1.13e-47	175	phrog_206	head scaffolding protein	head and packaging	6.3e-34	0.92	NA	NA	NA
pCAV	pCAV_pers_AGF18_RS30585	AGF18_RS30585	1	1	255.7	1.1	GENOMAD.142618.VP	Phage-related protein	0.416	7.893e-19	83	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_AGF18_RS30600	AGF18_RS30600	1	1	455.4	1.1	GENOMAD.152617.VP	Phage-related protein, tail component	0.306	1.652e-21	95	phrog_32	tail assembly protein	tail	1.3e-59	0.99	NA	NA	NA
pCAV	pCAV_pers_AGH21_RS00445	AGH21_RS00445	1	1	840.8	1.1	NA	NA	NA	NA	NA	phrog_160	thymidylate synthase	DNA, RNA and nucleotide metabolism	4.6e-85	1.054	NA	NA	NA
pCAV	pCAV_pers_AGH21_RS00610	AGH21_RS00610	1	1	530.7	1.1	NA	NA	NA	NA	NA	phrog_723	ParB-like partition protein	DNA, RNA and nucleotide metabolism	5.3e-71	1.013	parB_big_nr_90_40_FAM1	4.6e-17	0.603
pCAV	pCAV_pers_AGH21_RS00625	AGH21_RS00625	1	1	417.8	1.1	GENOMAD.224198.VP	NA	0.648	1.389e-71	239	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_AGH21_RS00630	AGH21_RS00630	1	1	693.7	1	NA	NA	NA	NA	NA	phrog_886	ABC transporter ATP-binding subunit	moron, auxiliary metabolic gene and host takeover	1.4000000000000001e-140	0.997	NA	NA	NA
pCAV	pCAV_pers_AM475_RS27700	AM475_RS27700	1	1	351	1.1	GENOMAD.223369.VP	NA	0.311	1.239e-16	79	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_AM475_RS27710	AM475_RS27710	1	1	212.3	1.2	GENOMAD.223526.VP	NA	0.558	1.959e-24	99	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_AM475_RS27860	AM475_RS27860	1	1	294.3	1.1	GENOMAD.223376.VP	Phosphatidate phosphatase APP1, catalytic domain	0.384	3.812e-21	91	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_AM475_RS27870	AM475_RS27870	1	1	550.4	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_AM475_RS28030	AM475_RS28030	1	1	757.3	1.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_AM475_RS28200	AM475_RS28200	1	1	257.5	1.3	GENOMAD.171056.VP	Bacteriophage minor capsid protein	0.524	3.57e-34	128	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_AM475_RS28205	AM475_RS28205	1	1	354.4	1.1	GENOMAD.195646.VP	phage protein, HK97 gp10 family	0.409	1.01e-30	120	phrog_927	tail completion or Neck1 protein	connector	9.8e-39	0.97	NA	NA	NA
pCAV	pCAV_pers_AM475_RS28225	AM475_RS28225	1	1	322.3	1.1	GENOMAD.221754.VP	NA	0.555	4.059e-14	71	phrog_341	major tail protein	tail	3.4e-20	0.571	NA	NA	NA
pCAV	pCAV_pers_AM476_RS01480	AM476_RS01480	1	1	1231.1	1.1	GENOMAD.168006.VP	NA	0.7	4.951e-115	382	phrog_145	portal protein	head and packaging	1.4e-124	1.006	NA	NA	NA
pCAV	pCAV_pers_AM476_RS01485	AM476_RS01485	1	1	1010.7	1	GENOMAD.124421.VP	NA	0.313	2.235e-52	194	phrog_10250	terminase large subunit	head and packaging	1.6e-62	0.943	NA	NA	NA
pCAV	pCAV_pers_AM476_RS01490	AM476_RS01490	1	1	440.8	1	GENOMAD.195594.VP	Transposase	0.47	6.574e-41	151	phrog_867	DNA binding domain	DNA, RNA and nucleotide metabolism	3.5e-62	0.827	NA	NA	NA
pCAV	pCAV_pers_AXA58_RS26370	AXA58_RS26370	1	1	482.7	1.1	GENOMAD.178051.VP	ParB/RepB/Spo0J family partition protein	0.254	8.261e-13	70	phrog_930	ParB-like partition protein	DNA, RNA and nucleotide metabolism	2.8e-89	0.978	NA	NA	NA
pCAV	pCAV_pers_AXA58_RS26550	AXA58_RS26550	1	1	406	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_AXA58_RS26740	AXA58_RS26740	1	1	182.2	1.1	GENOMAD.176714.VP	NA	0.526	3.33e-22	91	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_HV253_RS28190	HV253_RS28190	1	1	1042.3	1.1	GENOMAD.141497.VP	replicative DNA helicase	0.206	1.758e-20	98	phrog_19	DnaB-like replicative helicase	DNA, RNA and nucleotide metabolism	1.7e-78	0.699	NA	NA	NA
pCAV	pCAV_pers_HV253_RS28195	HV253_RS28195	1	1	873.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_HV253_RS28585	HV253_RS28585	1	1	354.6	1.1	GENOMAD.223168.VP	NA	0.702	1.393e-95	310	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_HV253_RS28670	HV253_RS28670	1	1	600	1.1	GENOMAD.179799.VP	NA	0.406	4.626e-55	196	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_HV324_RS30910	HV324_RS30910	1	1	460.5	1.1	NA	NA	NA	NA	NA	phrog_111	DNA methyltransferase	other	1.1e-58	0.554	NA	NA	NA
pCAV	pCAV_pers_HV324_RS30915	HV324_RS30915	1	1	167.4	1.2	GENOMAD.223441.VP	NA	0.824	3.1e-35	128	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_HV324_RS31075	HV324_RS31075	1	1	521.1	1.1	GENOMAD.152072.VP	Phage minor tail protein L	0.525	2.853e-77	258	phrog_4199	minor tail protein	tail	8.9e-52	0.695	NA	NA	NA
pCAV	pCAV_pers_HV324_RS31100	HV324_RS31100	1	1	486.1	1.1	GENOMAD.211175.PC	light-independent protochlorophyllide reductase, iron-sulfur ATP-binding protein	0.188	2.607e-4	44	NA	NA	NA	NA	NA	parA_big_nr_90_40_FAM16	6.4e-26	0.956
pCAV	pCAV_pers_HV324_RS31105	HV324_RS31105	1	1	249.2	1.1	GENOMAD.224628.VP	NA	0.572	6.864e-26	104	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_HV324_RS31110	HV324_RS31110	1	1	570	1.1	GENOMAD.222634.VP	NA	0.563	7.356e-74	249	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_HVY73_RS26740	HVY73_RS26740	1	1	197.9	1.1	GENOMAD.221585.VP	DNA-binding transcriptional regulator, PadR family	0.653	4.429e-30	114	phrog_362	transcriptional repressor	transcription regulation	1.2e-5	0.651	NA	NA	NA
pCAV	pCAV_pers_HVY73_RS26755	HVY73_RS26755	1	1	476.3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_HVY73_RS26770	HVY73_RS26770	1	1	1222.1	1.1	GENOMAD.152072.VP	Phage minor tail protein L	0.252	6.147e-45	175	phrog_9690	DNA helicase	DNA, RNA and nucleotide metabolism	1.6e-49	0.879	NA	NA	NA
pCAV	pCAV_pers_HVY73_RS26805	HVY73_RS26805	1	1	318.3	1.1	GENOMAD.219752.VP	NA	0.465	2.14e-33	127	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_HVY73_RS27050	HVY73_RS27050	1	1	192.5	1.1	GENOMAD.224297.VP	NA	0.41	1.123e-12	64	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_HVY73_RS27065	HVY73_RS27065	1	1	310.1	1.1	GENOMAD.132229.VP	Recombination, repair and ssDNA binding protein UvsY	0.405	8.416e-25	102	phrog_231	UvsY-like recombination mediator	DNA, RNA and nucleotide metabolism	8.7e-4	0.796	NA	NA	NA
pCAV	pCAV_pers_HVY73_RS27225	HVY73_RS27225	1	1	169	1.2	GENOMAD.080488.VV	NA	0.341	3.867e-7	48	phrog_1026	Rz-like spanin	lysis	7.1e-24	0.929	NA	NA	NA
pCAV	pCAV_pers_HVY73_RS27230	HVY73_RS27230	1	1	523.5	1.1	GENOMAD.205356.VP	NA	0.351	1.472e-24	105	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_HVY73_RS27235	HVY73_RS27235	1	1	234.3	1	GENOMAD.219539.VP	NA	0.682	6.151e-42	149	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_I8N74_RS26120	I8N74_RS26120	1	1	815	1	GENOMAD.060127.VV	protein RecA	0.191	2.856e-13	74	phrog_8337	DNA repair protein	DNA, RNA and nucleotide metabolism	1.7e-21	0.901	NA	NA	NA
pCAV	pCAV_pers_I8N74_RS26300	I8N74_RS26300	1	1	478.1	1.1	GENOMAD.097783.VV	NA	0.479	1.112e-53	189	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_I8N74_RS26445	I8N74_RS26445	1	1	682.5	1	GENOMAD.208864.VP	Phage capsid-like protein	0.275	5.033e-36	141	phrog_212	major head protein	head and packaging	1.8e-101	0.963	NA	NA	NA
pCAV	pCAV_pers_I8N74_RS26620	I8N74_RS26620	1	1	422.8	1.1	GENOMAD.095063.VV	NA	0.405	1.063e-38	145	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_JGR95_RS27775	JGR95_RS27775	1	1	625.9	1.1	GENOMAD.168265.VP	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif	0.353	1.111e-36	142	phrog_2635	tail protein	tail	4.5e-30	1.044	NA	NA	NA
pCAV	pCAV_pers_JGR95_RS27790	JGR95_RS27790	1	1	1130.4	1.2	GENOMAD.219543.VP	NA	0.209	5.418e-25	113	phrog_1980	tail fiber protein	tail	7.199999999999998e-102	1.131	NA	NA	NA
pCAV	pCAV_pers_JGR95_RS27980	JGR95_RS27980	1	1	706.4	1.1	GENOMAD.106654.VP	gp32 DNA binding protein like	0.258	3.504e-27	116	phrog_1192	single strand DNA binding protein	DNA, RNA and nucleotide metabolism	1.7e-56	0.982	NA	NA	NA
pCAV	pCAV_pers_JGR95_RS28130	JGR95_RS28130	1	1	320.4	1	GENOMAD.224247.VP	Uncharacterized conserved protein, tellurite resistance protein B (TerB) family	0.853	1.236e-76	251	phrog_632	tellurite resistance	moron, auxiliary metabolic gene and host takeover	1.8e-64	0.986	NA	NA	NA
pCAV	pCAV_pers_JGR95_RS28135	JGR95_RS28135	1	1	107.8	1.2	GENOMAD.195074.VP	NA	0.508	3.874e-8	49	phrog_1470	TciB-like inhibition of cell division or resistance to colicin	moron, auxiliary metabolic gene and host takeover	5.8e-19	0.87	NA	NA	NA
pCAV	pCAV_pers_JN237_RS26370	JN237_RS26370	1	1	894.9	1.1	GENOMAD.220689.VP	uracil-DNA glycosylase family domain	0.643	4.567e-50	186	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_JN237_RS26375	JN237_RS26375	1	1	1836.2	1.1	GENOMAD.085077.VV	DNA polymerase III, alpha subunit	0.295	5.089e-29	128	phrog_405	DNA polymerase	DNA, RNA and nucleotide metabolism	9.200000000000001e-252	0.626	NA	NA	NA
pCAV	pCAV_pers_JN237_RS26380	JN237_RS26380	1	1	934.3	1.1	GENOMAD.103310.VV	cobaltochelatase, CobS subunit	0.267	1.385e-10	66	phrog_249	porphyrin biosynthesis	moron, auxiliary metabolic gene and host takeover	9.9e-97	0.903	NA	NA	NA
pCAV	pCAV_pers_JN237_RS26390	JN237_RS26390	1	1	215.7	1.1	NA	NA	NA	NA	NA	phrog_6831	transcriptional regulator	transcription regulation	2.7e-5	0.559	NA	NA	NA
pCAV	pCAV_pers_JN237_RS26560	JN237_RS26560	1	1	227.7	1.1	GENOMAD.212145.VP	NA	0.657	1.948e-38	139	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_JN237_RS26720	JN237_RS26720	1	0.857	216.6	1.2	GENOMAD.171582.VP	NA	0.73	2.241e-45	159	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_JN237_RS26725	JN237_RS26725	1	1	182.8	1	GENOMAD.181058.VP	NA	0.445	4.843e-9	53	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_JN237_RS26740	JN237_RS26740	1	1	1262	1.1	GENOMAD.222265.VP	NA	0.644	1.318e-53	202	phrog_6263	DNA methyltransferase	other	5.499999999999999e-224	1.009	NA	NA	NA
